,describe_tree,can,f1_score1,roc_auc,recall,prec,acc,score_arr,depth,num_node,score_train
0,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,lda_ratio:0.6298725934505301,var_ratio:0.5460207284833618,class_lda:0.8307395116447097,class_var:0.049100260175426735,class_dist:0.0591042793645596,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,class_lda:0.0436561518716556,class_var:0.0436561518716556,class_dist:0,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.029813664596273298,train_num_sample:115,lda_ratio:0.17940509087600887,var_ratio:0.8378851102328059,class_lda:0.8261640687560524,class_var:0.049003745626771754,class_dist:0.05931478683230105,depth:1,left_tree:{split_feature: Ws,split_value:14.0,gini_value:0.21428571428571427,train_num_sample:7,lda_ratio:0.20132865792121388,var_ratio:0.5138198605579056,class_lda:2.986392088273875,class_var:0.2023209916728301,class_dist:0.06774763182210645,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,class_lda:0.8550155861943578,class_var:0.17786714521710217,class_dist:0.2080279565531456,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,class_lda:0.1960131040212551,class_var:0.1960131040212551,class_dist:0,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,class_lda:0.04482946214443989,class_var:0.04482946214443989,class_dist:0,depth:2}}}","[1, 1, 2]",0.8979591836734693,0.9074074074074074,0.8148148148148148,1.0,0.8979591836734694,"[[22  5]
 [ 0 22]]",3,4,0.9948717948717949
1,"{split_feature:ISI,split_value:3.0,gini_value:0.048401037165082136,train_num_sample:195,lda_ratio:1.0109403198011628,var_ratio:0.6830923908194759,class_lda:0.8307395116447097,class_var:0.049100260175426735,class_dist:0.0591042793645596,depth:0,left_tree:{split_feature:ISI,split_value:2.5,gini_value:0.049937578027465665,train_num_sample:89,lda_ratio:0.21134460317973758,var_ratio:0.4935064285934423,class_lda:0.9380830765719549,class_var:0.0827322247575702,class_dist:0.0881928550080013,depth:1,left_tree:{leaf_value:0.0,train_num_sample:80,class_lda:0.0436561518716556,class_var:0.0436561518716556,class_dist:0,depth:2},right_tree:{split_feature:Temperature,split_value:30.0,gini_value:0.2962962962962963,train_num_sample:9,lda_ratio:0.10137743317490179,var_ratio:0.44837575779293787,class_lda:2.239952780207194,class_var:0.16725187649778334,class_dist:0.07466759030621736,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,class_lda:0.20347545230612746,class_var:0.20347545230612746,class_dist:0,depth:3},right_tree:{leaf_value:0.0,train_num_sample:6,class_lda:0.3599440969864376,class_var:0.1042250424274094,class_dist:0.2895589712402938,depth:3}}},right_tree:{leaf_value:1.0,train_num_sample:106,class_lda:0.044932672699486045,class_var:0.044932672699486045,class_dist:0,depth:1}}","[10, 1, 2]",0.9629629629629629,0.9587542087542087,0.9629629629629629,0.9629629629629629,0.9591836734693877,"[[26  1]
 [ 1 21]]",3,4,0.9897435897435898
2,"{split_feature:ISI,split_value:3.0,gini_value:0.048401037165082136,train_num_sample:195,lda_ratio:1.0109403198011628,var_ratio:0.6830923908194759,class_lda:0.8307395116447097,class_var:0.049100260175426735,class_dist:0.0591042793645596,depth:0,left_tree:{split_feature:ISI,split_value:2.5,gini_value:0.049937578027465665,train_num_sample:89,lda_ratio:0.21134460317973758,var_ratio:0.4935064285934423,class_lda:0.9380830765719549,class_var:0.0827322247575702,class_dist:0.0881928550080013,depth:1,left_tree:{leaf_value:0.0,train_num_sample:80,class_lda:0.0436561518716556,class_var:0.0436561518716556,class_dist:0,depth:2},right_tree:{split_feature:Temperature,split_value:30.0,gini_value:0.2962962962962963,train_num_sample:9,lda_ratio:0.10137743317490179,var_ratio:0.44837575779293787,class_lda:2.239952780207194,class_var:0.16725187649778334,class_dist:0.07466759030621736,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,class_lda:0.20347545230612746,class_var:0.20347545230612746,class_dist:0,depth:3},right_tree:{leaf_value:0.0,train_num_sample:6,class_lda:0.3599440969864376,class_var:0.1042250424274094,class_dist:0.2895589712402938,depth:3}}},right_tree:{leaf_value:1.0,train_num_sample:106,class_lda:0.044932672699486045,class_var:0.044932672699486045,class_dist:0,depth:1}}","[50, 1, 2]",0.9629629629629629,0.9587542087542087,0.9629629629629629,0.9629629629629629,0.9591836734693877,"[[26  1]
 [ 1 21]]",3,4,0.9897435897435898
3,"{split_feature:FWI,split_value:6.255555555555556,gini_value:0.19145299145299147,train_num_sample:195,lda_ratio:1.1548806696712517,var_ratio:0.5945991656563331,class_lda:0.8307395116447097,class_var:0.049100260175426735,class_dist:0.0591042793645596,depth:0,left_tree:{split_feature:ISI,split_value:2.5,gini_value:0.0634920634920635,train_num_sample:108,lda_ratio:0.42416430921421466,var_ratio:0.5724370257969346,class_lda:0.7544054183674987,class_var:0.057933421689327,class_dist:0.07679348567603406,depth:1,left_tree:{leaf_value:0.0,train_num_sample:80,class_lda:0.0436561518716556,class_var:0.0436561518716556,class_dist:0,depth:2},right_tree:{split_feature:Temperature,split_value:32.0,gini_value:0.20952380952380956,train_num_sample:28,lda_ratio:0.39917530419652525,var_ratio:0.8055599277767932,class_lda:1.072136004360843,class_var:0.07504107754777158,class_dist:0.06999212529245068,depth:2,left_tree:{leaf_value:1.0,train_num_sample:13,class_lda:0.07778574038095229,class_var:0.07778574038095229,class_dist:0,depth:3},right_tree:{split_feature:FFMC,split_value:81.8,gini_value:0.1777777777777778,train_num_sample:15,lda_ratio:0.15621256432601655,var_ratio:0.5080347578411695,class_lda:0.7901524848969411,class_var:0.09861172882735707,class_dist:0.12480088427516482,depth:3,left_tree:{leaf_value:0.0,train_num_sample:6,class_lda:0.3599440969864376,class_var:0.1042250424274094,class_dist:0.2895589712402938,depth:4},right_tree:{leaf_value:1.0,train_num_sample:9,class_lda:0.09486158727120497,class_var:0.09486158727120497,class_dist:0,depth:4}}}},right_tree:{leaf_value:1.0,train_num_sample:87,class_lda:0.0454451824359209,class_var:0.0454451824359209,class_dist:0,depth:1}}","[100, 1, 2]",0.9433962264150944,0.9402356902356904,0.9259259259259259,0.9615384615384616,0.9387755102040817,"[[25  2]
 [ 1 21]]",4,5,0.9897435897435898
4,"{split_feature:FFMC,split_value:80.13434343434344,gini_value:0.03958614484930275,train_num_sample:195,lda_ratio:1.0144995473554046,var_ratio:0.6032822093069024,class_lda:0.9225476555088593,class_var:0.05084183968556202,class_dist:0.0551102584045034,depth:0,left_tree:{leaf_value:0.0,train_num_sample:81,class_lda:0.04201280547051964,class_var:0.04201280547051964,class_dist:0,depth:1},right_tree:{split_feature:ISI,split_value:2.6,gini_value:0.030542264752790992,train_num_sample:114,lda_ratio:0.7138895305770045,var_ratio:0.803304576556466,class_lda:1.2263567534055855,class_var:0.052776957180900766,class_dist:0.04303556614691399,depth:1,left_tree:{leaf_value:0.0,train_num_sample:4,class_lda:0.9132542838120833,class_var:0.18245929733443864,class_dist:0.19979024524563035,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.015151515151515145,train_num_sample:110,lda_ratio:0.16575603534045588,var_ratio:0.951774888780437,class_lda:0.8823305059394121,class_var:0.04376015825853536,class_dist:0.0495961070868157,depth:2,left_tree:{split_feature: RH,split_value:75.0,gini_value:0.16666666666666666,train_num_sample:6,lda_ratio:0.04884650374039108,var_ratio:0.5195057566933623,class_lda:1.3667823722561163,class_var:0.1285116466921376,class_dist:0.09402495181438898,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,class_lda:0.143238154055686,class_var:0.143238154055686,class_dist:0,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,class_lda:0.0,class_var:0.0,class_dist:0.8,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:104,class_lda:0.04491437648160575,class_var:0.04491437648160575,class_dist:0,depth:3}}}}","[1, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,5,0.9897435897435898
5,"{split_feature:ISI,split_value:2.5,gini_value:0.04905239687848379,train_num_sample:195,lda_ratio:0.6599151145756933,var_ratio:0.5657211375410817,class_lda:0.9225476555088593,class_var:0.05084183968556202,class_dist:0.0551102584045034,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,class_lda:0.043461636294403534,class_var:0.043461636294403534,class_dist:0,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.05590062111801242,train_num_sample:115,lda_ratio:0.45732617648411983,var_ratio:0.7987427163105608,class_lda:0.8734505751078558,class_var:0.04930853608432045,class_dist:0.05645257727173826,depth:1,left_tree:{split_feature:ISI,split_value:2.8,gini_value:0.31547619047619047,train_num_sample:14,lda_ratio:0.3750432594394544,var_ratio:0.5236190150125153,class_lda:2.228643997942116,class_var:0.14161357629368646,class_dist:0.06354248431981488,depth:2,left_tree:{split_feature:Temperature,split_value:30.0,gini_value:0.2222222222222222,train_num_sample:6,lda_ratio:0.0914032946113202,var_ratio:0.4773467137027042,class_lda:1.5266523242561005,class_var:0.2037308570795278,class_dist:0.13344941336188038,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,class_lda:0.20837438080987933,class_var:0.0956348364659594,class_dist:0.45895678775029725,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,class_lda:0.19281018542433012,class_var:0.19281018542433012,class_dist:0,depth:4}},right_tree:{split_feature: RH,split_value:75.0,gini_value:0.125,train_num_sample:8,lda_ratio:0.14137534627616846,var_ratio:0.7756742527106122,class_lda:0.5185878287598578,class_var:0.09451845747016659,class_dist:0.18226123373584843,depth:3,left_tree:{leaf_value:1.0,train_num_sample:6,class_lda:0.1346804376095806,class_var:0.1346804376095806,class_dist:0,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,class_lda:0.0,class_var:0.0,class_dist:0.8,depth:4}}},right_tree:{leaf_value:1.0,train_num_sample:101,class_lda:0.04820257318892857,class_var:0.04820257318892857,class_dist:0,depth:2}}}","[10, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",4,6,0.9897435897435898
6,"{split_feature:ISI,split_value:2.5,gini_value:0.04905239687848379,train_num_sample:195,lda_ratio:0.6599151145756933,var_ratio:0.5657211375410817,class_lda:0.9225476555088593,class_var:0.05084183968556202,class_dist:0.0551102584045034,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,class_lda:0.043461636294403534,class_var:0.043461636294403534,class_dist:0,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.05590062111801242,train_num_sample:115,lda_ratio:0.45732617648411983,var_ratio:0.7987427163105608,class_lda:0.8734505751078558,class_var:0.04930853608432045,class_dist:0.05645257727173826,depth:1,left_tree:{split_feature:Temperature,split_value:31.0,gini_value:0.3673469387755103,train_num_sample:14,lda_ratio:0.2645231446050776,var_ratio:0.5333073927513438,class_lda:2.228643997942116,class_var:0.14161357629368646,class_dist:0.06354248431981488,depth:2,left_tree:{split_feature: RH,split_value:78.0,gini_value:0.14285714285714285,train_num_sample:7,lda_ratio:0.2124599322262051,var_ratio:0.743800602503563,class_lda:0.23887801829439503,class_var:0.06823335098994389,class_dist:0.2856409789277999,depth:3,left_tree:{leaf_value:1.0,train_num_sample:5,class_lda:0.1213728772945244,class_var:0.1213728772945244,class_dist:0,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,class_lda:0.0,class_var:0.0,class_dist:0.8999999999999997,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:7,class_lda:0.7801918038930847,class_var:0.14316654970483228,class_dist:0.18350173507391962,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:101,class_lda:0.04820257318892857,class_var:0.04820257318892857,class_dist:0,depth:2}}}","[50, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,5,0.9794871794871794
7,"{split_feature:ISI,split_value:2.5,gini_value:0.04905239687848379,train_num_sample:195,lda_ratio:0.6599151145756933,var_ratio:0.5657211375410817,class_lda:0.9225476555088593,class_var:0.05084183968556202,class_dist:0.0551102584045034,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,class_lda:0.043461636294403534,class_var:0.043461636294403534,class_dist:0,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.05590062111801242,train_num_sample:115,lda_ratio:0.45732617648411983,var_ratio:0.7987427163105608,class_lda:0.8734505751078558,class_var:0.04930853608432045,class_dist:0.05645257727173826,depth:1,left_tree:{split_feature:Temperature,split_value:31.0,gini_value:0.3673469387755103,train_num_sample:14,lda_ratio:0.2645231446050776,var_ratio:0.5333073927513438,class_lda:2.228643997942116,class_var:0.14161357629368646,class_dist:0.06354248431981488,depth:2,left_tree:{split_feature: RH,split_value:78.0,gini_value:0.14285714285714285,train_num_sample:7,lda_ratio:0.2124599322262051,var_ratio:0.743800602503563,class_lda:0.23887801829439503,class_var:0.06823335098994389,class_dist:0.2856409789277999,depth:3,left_tree:{leaf_value:1.0,train_num_sample:5,class_lda:0.1213728772945244,class_var:0.1213728772945244,class_dist:0,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,class_lda:0.0,class_var:0.0,class_dist:0.8999999999999997,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:7,class_lda:0.7801918038930847,class_var:0.14316654970483228,class_dist:0.18350173507391962,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:101,class_lda:0.04820257318892857,class_var:0.04820257318892857,class_dist:0,depth:2}}}","[100, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,5,0.9794871794871794
8,"{split_feature:FFMC,split_value:80.03030303030303,gini_value:0.02014652014652018,train_num_sample:195,lda_ratio:0.5411462639609987,var_ratio:0.5323389700851003,class_lda:0.7543915189966477,class_var:0.04757681237837476,class_dist:0.06306647301874847,depth:0,left_tree:{leaf_value:0.0,train_num_sample:83,class_lda:0.04197946454101653,class_var:0.04197946454101653,class_dist:0,depth:1},right_tree:{leaf_value:1.0,train_num_sample:112,class_lda:0.6563154703085073,class_var:0.04402635313371305,class_dist:0.06708108390774035,depth:1}}","[1, 1, 2]",0.9491525423728813,0.9285714285714286,1.0,0.9032258064516129,0.9387755102040817,"[[28  0]
 [ 3 18]]",1,2,0.9897435897435898
9,"{split_feature:FFMC,split_value:80.03030303030303,gini_value:0.02014652014652018,train_num_sample:195,lda_ratio:0.5411462639609987,var_ratio:0.5323389700851003,class_lda:0.7543915189966477,class_var:0.04757681237837476,class_dist:0.06306647301874847,depth:0,left_tree:{leaf_value:0.0,train_num_sample:83,class_lda:0.04197946454101653,class_var:0.04197946454101653,class_dist:0,depth:1},right_tree:{split_feature: RH,split_value:76.0,gini_value:0.02777777777777778,train_num_sample:112,lda_ratio:0.12835961813592137,var_ratio:0.9089475216808452,class_lda:0.6563154703085073,class_var:0.04402635313371305,class_dist:0.06708108390774035,depth:1,left_tree:{leaf_value:1.0,train_num_sample:103,class_lda:0.042541720564742605,class_var:0.042541720564742605,class_dist:0,depth:2},right_tree:{leaf_value:1.0,train_num_sample:9,class_lda:0.47088746525000247,class_var:0.09420551175696104,class_dist:0.20005950191718455,depth:2}}}","[10, 1, 2]",0.9491525423728813,0.9285714285714286,1.0,0.9032258064516129,0.9387755102040817,"[[28  0]
 [ 3 18]]",2,3,0.9897435897435898
