,describe_tree,can,f1_score1,roc_auc,recall,prec,acc,score_arr,depth,num_node,score_train
0,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.029813664596273298,train_num_sample:115,depth:1,left_tree:{split_feature: Ws,split_value:14.0,gini_value:0.21428571428571427,train_num_sample:7,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,depth:2}}}","[1, 1, 2]",0.8979591836734693,0.9074074074074074,0.8148148148148148,1.0,0.8979591836734694,"[[22  5]
 [ 0 22]]",3,4,0.9948717948717949
1,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.029813664596273298,train_num_sample:115,depth:1,left_tree:{split_feature: Ws,split_value:14.0,gini_value:0.21428571428571427,train_num_sample:7,depth:2,left_tree:{split_feature: RH,split_value:76.0,gini_value:0.25,train_num_sample:4,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,depth:2}}}","[2, 1, 2]",0.8979591836734693,0.9074074074074074,0.8148148148148148,1.0,0.8979591836734694,"[[22  5]
 [ 0 22]]",3,5,0.9948717948717949
2,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:81.8,gini_value:0.034782608695652174,train_num_sample:115,depth:1,left_tree:{split_feature: RH,split_value:62.0,gini_value:0.1999999999999999,train_num_sample:8,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{split_feature:DMC,split_value:6.3,gini_value:0.2,train_num_sample:5,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,depth:4}}},right_tree:{leaf_value:1.0,train_num_sample:107,depth:2}}}","[3, 1, 2]",0.9811320754716981,0.9814814814814814,0.9629629629629629,1.0,0.9795918367346939,"[[26  1]
 [ 0 22]]",3,5,0.9948717948717949
3,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:81.8,gini_value:0.034782608695652174,train_num_sample:115,depth:1,left_tree:{split_feature: RH,split_value:62.0,gini_value:0.1999999999999999,train_num_sample:8,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{split_feature:DMC,split_value:6.3,gini_value:0.2,train_num_sample:5,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,depth:4}}},right_tree:{leaf_value:1.0,train_num_sample:107,depth:2}}}","[5, 1, 2]",0.9811320754716981,0.9814814814814814,0.9629629629629629,1.0,0.9795918367346939,"[[26  1]
 [ 0 22]]",3,5,0.9948717948717949
4,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.7,gini_value:0.03864734299516908,train_num_sample:115,depth:1,left_tree:{split_feature:Temperature,split_value:30.0,gini_value:0.1777777777777777,train_num_sample:9,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,depth:3},right_tree:{split_feature: RH,split_value:64.0,gini_value:0.2,train_num_sample:5,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,depth:4}}},right_tree:{leaf_value:1.0,train_num_sample:106,depth:2}}}","[7, 1, 2]",0.9629629629629629,0.9587542087542087,0.9629629629629629,0.9629629629629629,0.9591836734693877,"[[26  1]
 [ 1 21]]",3,5,0.9948717948717949
5,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.7,gini_value:0.03864734299516908,train_num_sample:115,depth:1,left_tree:{split_feature:Temperature,split_value:30.0,gini_value:0.1777777777777777,train_num_sample:9,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,depth:3},right_tree:{split_feature: RH,split_value:64.0,gini_value:0.2,train_num_sample:5,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,depth:4}}},right_tree:{leaf_value:1.0,train_num_sample:106,depth:2}}}","[10, 1, 2]",0.9629629629629629,0.9587542087542087,0.9629629629629629,0.9629629629629629,0.9591836734693877,"[[26  1]
 [ 1 21]]",3,5,0.9948717948717949
6,"{split_feature:FFMC,split_value:80.13434343434344,gini_value:0.03958614484930275,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:81,depth:1},right_tree:{split_feature:ISI,split_value:2.6,gini_value:0.030542264752790992,train_num_sample:114,depth:1,left_tree:{leaf_value:0.0,train_num_sample:4,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.015151515151515145,train_num_sample:110,depth:2,left_tree:{split_feature: RH,split_value:75.0,gini_value:0.16666666666666666,train_num_sample:6,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:104,depth:3}}}}","[1, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,5,0.9897435897435898
7,"{split_feature:FFMC,split_value:80.0,gini_value:0.04905239687848379,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:ISI,split_value:2.6,gini_value:0.04719937328632986,train_num_sample:115,depth:1,left_tree:{leaf_value:0.0,train_num_sample:4,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.02574002574002574,train_num_sample:111,depth:2,left_tree:{split_feature: RH,split_value:75.0,gini_value:0.19047619047619047,train_num_sample:7,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,depth:4},right_tree:{leaf_value:0.0,train_num_sample:3,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:104,depth:3}}}}","[2, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",4,5,0.9897435897435898
8,"{split_feature:ISI,split_value:2.5,gini_value:0.04905239687848379,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.03416149068322987,train_num_sample:115,depth:1,left_tree:{leaf_value:0.0,train_num_sample:3,depth:2},right_tree:{split_feature:FFMC,split_value:81.8,gini_value:0.02777777777777778,train_num_sample:112,depth:2,left_tree:{leaf_value:1.0,train_num_sample:9,depth:3},right_tree:{leaf_value:1.0,train_num_sample:103,depth:3}}}}","[3, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,4,0.9897435897435898
9,"{split_feature:ISI,split_value:2.5,gini_value:0.04905239687848379,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FFMC,split_value:80.0,gini_value:0.05078876490958064,train_num_sample:115,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,depth:2},right_tree:{split_feature:FFMC,split_value:81.8,gini_value:0.03716814159292036,train_num_sample:113,depth:2,left_tree:{split_feature: RH,split_value:75.0,gini_value:0.15000000000000002,train_num_sample:10,depth:3,left_tree:{leaf_value:1.0,train_num_sample:6,depth:4},right_tree:{split_feature:BUI,split_value:8.1,gini_value:0.25,train_num_sample:4,depth:4,left_tree:{leaf_value:0.0,train_num_sample:2,depth:5},right_tree:{leaf_value:1.0,train_num_sample:2,depth:5}}},right_tree:{leaf_value:1.0,train_num_sample:103,depth:3}}}}","[5, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",4,6,0.9948717948717949
